sn,cpu_milli,memory_mib,gpu,model
openb-node-0250,96000,393216,8,G2
openb-node-0251,104000,524288,2,T4
openb-node-0252,96000,393216,8,G2
openb-node-0253,96000,393216,8,G2
openb-node-0254,96000,393216,8,G2
openb-node-0255,96000,393216,8,G2
openb-node-0256,96000,393216,8,G2
openb-node-0257,128000,786432,8,G3
openb-node-0258,128000,786432,8,G3
openb-node-0259,16000,122880,2,P100
openb-node-0260,96000,393216,8,G2
openb-node-0261,96000,393216,8,G2
openb-node-0262,96000,393216,8,G2
openb-node-0263,96000,393216,8,G2
openb-node-0264,96000,393216,8,G2
openb-node-0265,96000,393216,4,T4
openb-node-0266,96000,393216,8,G2
openb-node-0267,96000,393216,8,G2
openb-node-0268,96000,393216,8,G2
openb-node-0269,96000,393216,8,G2
openb-node-0270,16000,122880,2,P100
openb-node-0271,96000,393216,8,G2
openb-node-0272,96000,393216,8,G2
openb-node-0273,96000,786432,8,V100M32
openb-node-0274,96000,393216,8,G2
openb-node-0275,104000,524288,2,T4
openb-node-0276,104000,524288,2,T4
openb-node-0277,104000,524288,2,T4
openb-node-0278,104000,524288,2,T4
openb-node-0279,32000,131072,4,V100M16
openb-node-0280,16000,122880,2,P100
openb-node-0281,16000,122880,2,P100
openb-node-0282,32000,131072,0,
openb-node-0283,96000,393216,8,G2
openb-node-0284,96000,393216,8,G2
openb-node-0285,96000,393216,8,G2
openb-node-0286,96000,393216,8,G2
openb-node-0287,96000,393216,4,T4
openb-node-0288,96000,393216,4,T4
openb-node-0289,96000,393216,8,G2
openb-node-0290,96000,393216,8,G2
openb-node-0291,96000,393216,8,G2
openb-node-0292,16000,122880,2,P100
openb-node-0293,16000,122880,2,P100
openb-node-0294,16000,122880,2,P100
openb-node-0295,96000,393216,8,G2
openb-node-0296,104000,786432,0,
openb-node-0297,96000,393216,8,G2
openb-node-0298,96000,393216,8,G2
openb-node-0299,96000,393216,8,G2
openb-node-0300,16000,122880,2,P100
openb-node-0301,96000,393216,8,G2
openb-node-0302,96000,393216,8,G2
openb-node-0303,96000,393216,8,G2
openb-node-0304,96000,393216,8,G2
openb-node-0305,96000,393216,8,G2
openb-node-0306,96000,393216,4,T4
openb-node-0307,32000,131072,4,V100M16
openb-node-0308,32000,131072,4,V100M16
openb-node-0309,32000,131072,4,V100M16
openb-node-0310,96000,393216,8,G2
openb-node-0311,96000,393216,8,G2
openb-node-0312,96000,393216,8,G2
openb-node-0313,96000,393216,4,T4
openb-node-0314,96000,393216,8,G2
openb-node-0315,96000,393216,8,G2
openb-node-0316,96000,393216,8,G2
openb-node-0317,104000,524288,0,
openb-node-0318,96000,393216,8,G2
openb-node-0319,96000,393216,8,G2
openb-node-0320,96000,393216,8,G2
openb-node-0321,96000,393216,8,G2
openb-node-0322,96000,393216,8,G2
openb-node-0323,96000,393216,8,G2
openb-node-0324,32000,131072,0,
openb-node-0325,104000,524288,2,T4
openb-node-0326,96000,393216,8,G2
openb-node-0327,96000,393216,8,G2
openb-node-0328,96000,393216,8,G2
openb-node-0329,96000,393216,8,G2
openb-node-0330,16000,122880,2,P100
openb-node-0331,16000,122880,2,P100
openb-node-0332,96000,393216,8,G2
openb-node-0333,104000,524288,2,T4
openb-node-0334,104000,524288,2,T4
openb-node-0335,104000,524288,2,T4
openb-node-0336,104000,524288,2,T4
openb-node-0337,104000,524288,2,T4
openb-node-0338,104000,524288,2,T4
openb-node-0339,96000,524288,0,
openb-node-0340,104000,524288,2,T4
openb-node-0341,104000,524288,2,T4
openb-node-0342,104000,524288,2,T4
openb-node-0343,104000,524288,2,T4
openb-node-0344,104000,524288,2,T4
openb-node-0345,104000,524288,2,T4
openb-node-0346,104000,524288,2,T4
openb-node-0347,104000,524288,2,T4
openb-node-0348,104000,524288,2,T4
openb-node-0349,104000,524288,2,T4
openb-node-0350,104000,524288,2,T4
openb-node-0351,96000,393216,8,G2
openb-node-0352,104000,524288,2,T4
openb-node-0353,96000,393216,8,G2
openb-node-0354,96000,393216,8,G2
openb-node-0355,96000,393216,8,G2
openb-node-0356,8000,32768,1,V100M16
openb-node-0357,16000,122880,2,P100
openb-node-0358,16000,122880,2,P100
openb-node-0359,16000,122880,2,P100
openb-node-0360,104000,524288,2,T4
openb-node-0361,96000,393216,8,G2
openb-node-0362,96000,393216,8,G2
openb-node-0363,96000,393216,8,G2
openb-node-0364,96000,393216,8,G2
openb-node-0365,96000,393216,8,G2
openb-node-0366,96000,393216,8,G2
openb-node-0367,96000,393216,8,G2
openb-node-0368,8000,32768,1,V100M16
openb-node-0369,96000,393216,8,G2
openb-node-0370,96000,393216,8,G2
openb-node-0371,96000,393216,8,G2
openb-node-0372,96000,393216,8,G2
openb-node-0373,96000,393216,8,G2
openb-node-0374,16000,122880,2,P100
openb-node-0375,16000,122880,2,P100
openb-node-0376,16000,122880,2,P100
openb-node-0377,104000,524288,0,
openb-node-0378,104000,524288,2,T4
openb-node-0379,32000,131072,0,
openb-node-0380,32000,131072,0,
openb-node-0381,104000,524288,2,T4
openb-node-0382,96000,786432,8,V100M32
openb-node-0383,128000,786432,8,G3
openb-node-0384,128000,786432,8,G3
openb-node-0385,128000,786432,8,G3
openb-node-0386,128000,786432,8,G3
openb-node-0387,64000,262144,0,
openb-node-0388,96000,393216,8,G2
openb-node-0389,96000,393216,8,G2
openb-node-0390,96000,393216,8,G2
openb-node-0391,96000,393216,8,G2
openb-node-0392,32000,131072,0,
openb-node-0393,96000,393216,8,G2
openb-node-0394,96000,393216,8,G2
openb-node-0395,96000,393216,8,G2
openb-node-0396,96000,393216,8,G2
openb-node-0397,96000,393216,8,G2
openb-node-0398,128000,786432,8,G3
openb-node-0399,128000,786432,8,G3
openb-node-0400,32000,131072,4,V100M16
openb-node-0401,104000,524288,2,T4
openb-node-0402,104000,524288,2,T4
openb-node-0403,96000,393216,8,G2
openb-node-0404,96000,393216,8,G2
openb-node-0405,96000,524288,0,
openb-node-0406,96000,524288,0,
openb-node-0407,104000,524288,2,T4
openb-node-0408,96000,393216,8,G2
openb-node-0409,96000,393216,8,G2
openb-node-0410,96000,393216,8,G2
openb-node-0411,96000,393216,8,G2
openb-node-0412,16000,122880,2,P100
openb-node-0413,16000,122880,2,P100
openb-node-0414,8000,32768,1,V100M16
openb-node-0415,96000,393216,8,G2
openb-node-0416,96000,393216,8,G2
openb-node-0417,96000,393216,8,G2
openb-node-0418,96000,393216,8,G2
openb-node-0419,104000,524288,2,T4
openb-node-0420,104000,524288,2,T4
openb-node-0421,104000,524288,2,T4
openb-node-0422,104000,524288,2,T4
openb-node-0423,104000,524288,2,T4
openb-node-0424,104000,524288,2,T4
openb-node-0425,104000,524288,2,T4
openb-node-0426,104000,524288,2,T4
openb-node-0427,104000,524288,2,T4
openb-node-0428,104000,524288,2,T4
openb-node-0429,104000,524288,0,
openb-node-0430,104000,524288,0,
openb-node-0431,104000,524288,2,T4
openb-node-0432,104000,524288,2,T4
openb-node-0433,104000,524288,2,T4
openb-node-0434,104000,524288,2,T4
openb-node-0435,104000,524288,2,T4
openb-node-0436,96000,786432,8,V100M32
openb-node-0437,96000,393216,8,G2
openb-node-0438,96000,393216,8,G2
openb-node-0439,96000,393216,8,G2
openb-node-0440,16000,122880,2,P100
openb-node-0441,16000,122880,2,P100
openb-node-0442,96000,393216,8,G2
openb-node-0443,96000,393216,8,G2
openb-node-0444,96000,393216,8,G2
openb-node-0445,96000,393216,8,G2
openb-node-0446,32000,131072,4,V100M16
openb-node-0447,96000,393216,8,G2
openb-node-0448,32000,131072,4,V100M16
openb-node-0449,96000,393216,8,G2
openb-node-0450,96000,393216,8,G2
openb-node-0451,104000,524288,2,T4
openb-node-0452,32000,131072,4,V100M16
openb-node-0453,32000,65536,0,
